
============================================================
Phase 1: llama / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 4.6/sec | ETA: 19.2m
  Phase1: 1100/5400 (20.4%) | 4.0/sec | ETA: 17.8m
  Phase1: 1150/5400 (21.3%) | 4.1/sec | ETA: 17.5m
  Phase1: 1200/5400 (22.2%) | 4.0/sec | ETA: 17.6m
  Phase1: 1250/5400 (23.1%) | 4.0/sec | ETA: 17.4m
  Phase1: 1300/5400 (24.1%) | 4.0/sec | ETA: 17.1m
  Phase1: 1350/5400 (25.0%) | 4.0/sec | ETA: 16.7m
  Phase1: 1400/5400 (25.9%) | 4.1/sec | ETA: 16.5m
  Phase1: 1450/5400 (26.9%) | 4.0/sec | ETA: 16.5m
  Phase1: 1500/5400 (27.8%) | 4.0/sec | ETA: 16.4m
  Phase1: 1550/5400 (28.7%) | 4.0/sec | ETA: 16.2m
  Phase1: 1600/5400 (29.6%) | 4.0/sec | ETA: 15.8m
  Phase1: 1650/5400 (30.6%) | 4.0/sec | ETA: 15.5m
  Phase1: 1700/5400 (31.5%) | 4.0/sec | ETA: 15.4m
  Phase1: 1750/5400 (32.4%) | 4.0/sec | ETA: 15.2m
  Phase1: 1800/5400 (33.3%) | 4.0/sec | ETA: 14.9m
  Phase1: 1850/5400 (34.3%) | 4.0/sec | ETA: 14.7m
  Phase1: 1900/5400 (35.2%) | 4.0/sec | ETA: 14.4m
  Phase1: 1950/5400 (36.1%) | 4.0/sec | ETA: 14.3m
  Phase1: 2000/5400 (37.0%) | 4.0/sec | ETA: 14.1m
  Phase1: 2050/5400 (38.0%) | 4.0/sec | ETA: 13.9m
  Phase1: 2100/5400 (38.9%) | 4.0/sec | ETA: 13.7m
  Phase1: 2150/5400 (39.8%) | 4.0/sec | ETA: 13.5m
  Phase1: 2200/5400 (40.7%) | 4.0/sec | ETA: 13.3m
  Phase1: 2250/5400 (41.7%) | 4.0/sec | ETA: 13.2m
  Phase1: 2300/5400 (42.6%) | 4.0/sec | ETA: 12.9m
  Phase1: 2350/5400 (43.5%) | 4.0/sec | ETA: 12.7m
  Phase1: 2400/5400 (44.4%) | 4.0/sec | ETA: 12.5m
  Phase1: 2450/5400 (45.4%) | 4.0/sec | ETA: 12.4m
  Phase1: 2500/5400 (46.3%) | 4.0/sec | ETA: 12.1m
  Phase1: 2550/5400 (47.2%) | 4.0/sec | ETA: 11.8m
  Phase1: 2600/5400 (48.1%) | 4.0/sec | ETA: 11.6m
  Phase1: 2650/5400 (49.1%) | 4.0/sec | ETA: 11.5m
  Phase1: 2700/5400 (50.0%) | 4.0/sec | ETA: 11.3m
  Phase1: 2750/5400 (50.9%) | 4.0/sec | ETA: 11.1m
  Phase1: 2800/5400 (51.9%) | 4.0/sec | ETA: 10.9m
  Phase1: 2850/5400 (52.8%) | 3.9/sec | ETA: 10.8m
  Phase1: 2900/5400 (53.7%) | 3.9/sec | ETA: 10.6m
  Phase1: 2950/5400 (54.6%) | 3.9/sec | ETA: 10.4m
  Phase1: 3000/5400 (55.6%) | 3.9/sec | ETA: 10.1m
  Phase1: 3050/5400 (56.5%) | 3.9/sec | ETA: 10.0m
  Phase1: 3100/5400 (57.4%) | 3.9/sec | ETA: 9.9m
  Phase1: 3150/5400 (58.3%) | 3.9/sec | ETA: 9.6m
  Phase1: 3200/5400 (59.3%) | 3.9/sec | ETA: 9.4m
  Phase1: 3250/5400 (60.2%) | 3.9/sec | ETA: 9.1m
  Phase1: 3300/5400 (61.1%) | 3.9/sec | ETA: 9.0m
  Phase1: 3350/5400 (62.0%) | 3.9/sec | ETA: 8.8m
  Phase1: 3400/5400 (63.0%) | 3.9/sec | ETA: 8.6m
  Phase1: 3450/5400 (63.9%) | 3.9/sec | ETA: 8.3m
  Phase1: 3500/5400 (64.8%) | 3.9/sec | ETA: 8.2m
  Phase1: 3550/5400 (65.7%) | 3.9/sec | ETA: 8.0m
  Phase1: 3600/5400 (66.7%) | 3.9/sec | ETA: 7.8m
  Phase1: 3650/5400 (67.6%) | 3.9/sec | ETA: 7.5m
  Phase1: 3700/5400 (68.5%) | 3.9/sec | ETA: 7.3m
  Phase1: 3750/5400 (69.4%) | 3.9/sec | ETA: 7.1m
  Phase1: 3800/5400 (70.4%) | 3.9/sec | ETA: 6.9m
  Phase1: 3850/5400 (71.3%) | 3.9/sec | ETA: 6.7m
  Phase1: 3900/5400 (72.2%) | 3.9/sec | ETA: 6.4m
  Phase1: 3950/5400 (73.1%) | 3.9/sec | ETA: 6.3m
  Phase1: 4000/5400 (74.1%) | 3.8/sec | ETA: 6.1m
  Phase1: 4050/5400 (75.0%) | 3.8/sec | ETA: 5.9m
  Phase1: 4100/5400 (75.9%) | 3.9/sec | ETA: 5.6m
  Phase1: 4150/5400 (76.9%) | 3.8/sec | ETA: 5.4m
  Phase1: 4200/5400 (77.8%) | 3.9/sec | ETA: 5.2m
  Phase1: 4250/5400 (78.7%) | 3.9/sec | ETA: 4.9m
  Phase1: 4300/5400 (79.6%) | 3.9/sec | ETA: 4.7m
  Phase1: 4350/5400 (80.6%) | 3.9/sec | ETA: 4.5m
  Phase1: 4400/5400 (81.5%) | 3.9/sec | ETA: 4.3m
  Phase1: 4450/5400 (82.4%) | 3.9/sec | ETA: 4.0m
  Phase1: 4500/5400 (83.3%) | 3.9/sec | ETA: 3.8m
  Phase1: 4550/5400 (84.3%) | 3.9/sec | ETA: 3.6m
  Phase1: 4600/5400 (85.2%) | 3.9/sec | ETA: 3.4m
  Phase1: 4650/5400 (86.1%) | 3.9/sec | ETA: 3.2m
  Phase1: 4700/5400 (87.0%) | 3.9/sec | ETA: 3.0m
  Phase1: 4750/5400 (88.0%) | 3.9/sec | ETA: 2.8m
  Phase1: 4800/5400 (88.9%) | 3.9/sec | ETA: 2.6m
  Phase1: 4850/5400 (89.8%) | 3.9/sec | ETA: 2.3m
  Phase1: 4900/5400 (90.7%) | 3.9/sec | ETA: 2.1m
  Phase1: 4950/5400 (91.7%) | 3.9/sec | ETA: 1.9m
  Phase1: 5000/5400 (92.6%) | 3.9/sec | ETA: 1.7m
  Phase1: 5050/5400 (93.5%) | 3.9/sec | ETA: 1.5m
  Phase1: 5100/5400 (94.4%) | 3.9/sec | ETA: 1.3m
  Phase1: 5150/5400 (95.4%) | 3.9/sec | ETA: 1.1m
  Phase1: 5200/5400 (96.3%) | 3.9/sec | ETA: 0.9m
  Phase1: 5250/5400 (97.2%) | 3.9/sec | ETA: 0.6m
  Phase1: 5300/5400 (98.1%) | 3.9/sec | ETA: 0.4m
  Phase1: 5350/5400 (99.1%) | 3.9/sec | ETA: 0.2m
  Phase1: 5400/5400 (100.0%) | 3.9/sec | ETA: 0.0m
Phase 1 done in 23.2m (5400 calls, 3.9/sec)
  Phase 2: 629 entries to rerun with max_tokens=1024
    Rerun: 50/629, fixed: 50
    Rerun: 100/629, fixed: 92
    Rerun: 150/629, fixed: 140
    Rerun: 200/629, fixed: 190
    Rerun: 250/629, fixed: 240
    Rerun: 300/629, fixed: 289
    Rerun: 350/629, fixed: 339
    Rerun: 400/629, fixed: 388
    Rerun: 450/629, fixed: 437
    Rerun: 500/629, fixed: 483
    Rerun: 550/629, fixed: 532
    Rerun: 600/629, fixed: 582
    Rerun: 629/629, fixed: 603
  Phase 2 done: fixed 603/629 in 8.7m
Final results saved to results_exp1/results_qwen7b_mmlu.json
Final None rate: 26/5400 (0.5%)


============================================================
Phase 1: qwen32b / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 1.6/sec | ETA: 56.6m
  Phase1: 100/5400 (1.9%) | 2.3/sec | ETA: 39.1m
  Phase1: 150/5400 (2.8%) | 2.7/sec | ETA: 32.2m
  Phase1: 200/5400 (3.7%) | 2.5/sec | ETA: 34.4m
  Phase1: 250/5400 (4.6%) | 2.8/sec | ETA: 30.8m
  Phase1: 300/5400 (5.6%) | 3.0/sec | ETA: 28.7m
  Phase1: 350/5400 (6.5%) | 1.8/sec | ETA: 46.8m
  Phase1: 400/5400 (7.4%) | 1.9/sec | ETA: 43.1m
  Phase1: 450/5400 (8.3%) | 1.5/sec | ETA: 54.9m
  Phase1: 500/5400 (9.3%) | 1.6/sec | ETA: 50.6m
  Phase1: 550/5400 (10.2%) | 1.7/sec | ETA: 48.0m
  Phase1: 600/5400 (11.1%) | 1.8/sec | ETA: 45.1m
  Phase1: 650/5400 (12.0%) | 1.9/sec | ETA: 42.6m
  Phase1: 700/5400 (13.0%) | 1.9/sec | ETA: 40.4m
  Phase1: 750/5400 (13.9%) | 2.0/sec | ETA: 38.7m
  Phase1: 800/5400 (14.8%) | 2.1/sec | ETA: 36.8m
  Phase1: 850/5400 (15.7%) | 2.1/sec | ETA: 35.3m
  Phase1: 900/5400 (16.7%) | 2.2/sec | ETA: 33.8m
  Phase1: 950/5400 (17.6%) | 2.3/sec | ETA: 32.5m
  Phase1: 1000/5400 (18.5%) | 2.3/sec | ETA: 31.8m
  Phase1: 1050/5400 (19.4%) | 2.3/sec | ETA: 30.9m
  Phase1: 1100/5400 (20.4%) | 2.4/sec | ETA: 30.0m
  Phase1: 1150/5400 (21.3%) | 2.4/sec | ETA: 29.1m
  Phase1: 1200/5400 (22.2%) | 2.5/sec | ETA: 28.2m
  Phase1: 1250/5400 (23.1%) | 2.5/sec | ETA: 27.5m
  Phase1: 1300/5400 (24.1%) | 2.6/sec | ETA: 26.7m
  Phase1: 1350/5400 (25.0%) | 2.6/sec | ETA: 26.0m
  Phase1: 1400/5400 (25.9%) | 2.6/sec | ETA: 25.2m
  Phase1: 1450/5400 (26.9%) | 2.7/sec | ETA: 24.8m
  Phase1: 1500/5400 (27.8%) | 2.7/sec | ETA: 24.3m
  Phase1: 1550/5400 (28.7%) | 2.7/sec | ETA: 23.8m
  Phase1: 1600/5400 (29.6%) | 2.7/sec | ETA: 23.2m
  Phase1: 1650/5400 (30.6%) | 2.8/sec | ETA: 22.7m
  Phase1: 1700/5400 (31.5%) | 2.8/sec | ETA: 22.1m
  Phase1: 1750/5400 (32.4%) | 2.8/sec | ETA: 21.6m
  Phase1: 1800/5400 (33.3%) | 2.5/sec | ETA: 23.8m
  Phase1: 1850/5400 (34.3%) | 2.6/sec | ETA: 23.0m
  Phase1: 1900/5400 (35.2%) | 2.6/sec | ETA: 22.7m
  Phase1: 1950/5400 (36.1%) | 2.6/sec | ETA: 22.2m
  Phase1: 2000/5400 (37.0%) | 2.6/sec | ETA: 21.7m
  Phase1: 2050/5400 (38.0%) | 2.6/sec | ETA: 21.2m
  Phase1: 2100/5400 (38.9%) | 2.7/sec | ETA: 20.6m
  Phase1: 2150/5400 (39.8%) | 2.7/sec | ETA: 20.1m
  Phase1: 2200/5400 (40.7%) | 2.7/sec | ETA: 19.5m
  Phase1: 2250/5400 (41.7%) | 2.8/sec | ETA: 19.1m
  Phase1: 2300/5400 (42.6%) | 2.8/sec | ETA: 18.6m
  Phase1: 2350/5400 (43.5%) | 2.8/sec | ETA: 18.2m
  Phase1: 2400/5400 (44.4%) | 2.8/sec | ETA: 17.8m
  Phase1: 2450/5400 (45.4%) | 2.8/sec | ETA: 17.3m
  Phase1: 2500/5400 (46.3%) | 2.9/sec | ETA: 16.8m
  Phase1: 2550/5400 (47.2%) | 2.9/sec | ETA: 16.3m
  Phase1: 2600/5400 (48.1%) | 2.9/sec | ETA: 15.9m
  Phase1: 2650/5400 (49.1%) | 3.0/sec | ETA: 15.5m
  Phase1: 2700/5400 (50.0%) | 3.0/sec | ETA: 15.1m
  Phase1: 2750/5400 (50.9%) | 3.0/sec | ETA: 14.7m
  Phase1: 2800/5400 (51.9%) | 3.0/sec | ETA: 14.3m
  Phase1: 2850/5400 (52.8%) | 3.1/sec | ETA: 13.8m
  Phase1: 2900/5400 (53.7%) | 3.1/sec | ETA: 13.5m
  Phase1: 2950/5400 (54.6%) | 3.1/sec | ETA: 13.1m
  Phase1: 3000/5400 (55.6%) | 3.1/sec | ETA: 12.8m
  Phase1: 3050/5400 (56.5%) | 3.2/sec | ETA: 12.4m
  Phase1: 3100/5400 (57.4%) | 3.1/sec | ETA: 12.2m
  Phase1: 3150/5400 (58.3%) | 3.1/sec | ETA: 11.9m
  Phase1: 3200/5400 (59.3%) | 3.2/sec | ETA: 11.6m
  Phase1: 3250/5400 (60.2%) | 2.9/sec | ETA: 12.2m
  Phase1: 3300/5400 (61.1%) | 2.9/sec | ETA: 11.9m
  Phase1: 3350/5400 (62.0%) | 2.9/sec | ETA: 11.6m
  Phase1: 3400/5400 (63.0%) | 2.8/sec | ETA: 12.1m
  Phase1: 3450/5400 (63.9%) | 2.8/sec | ETA: 11.7m
  Phase1: 3500/5400 (64.8%) | 2.8/sec | ETA: 11.3m
  Phase1: 3550/5400 (65.7%) | 2.8/sec | ETA: 11.0m
  Phase1: 3600/5400 (66.7%) | 2.8/sec | ETA: 10.7m
  Phase1: 3650/5400 (67.6%) | 2.7/sec | ETA: 11.0m
  Phase1: 3700/5400 (68.5%) | 2.7/sec | ETA: 10.6m
  Phase1: 3750/5400 (69.4%) | 2.7/sec | ETA: 10.3m
  Phase1: 3800/5400 (70.4%) | 2.7/sec | ETA: 10.0m
  Phase1: 3850/5400 (71.3%) | 2.7/sec | ETA: 9.7m
  Phase1: 3900/5400 (72.2%) | 2.7/sec | ETA: 9.4m
  Phase1: 3950/5400 (73.1%) | 2.7/sec | ETA: 9.1m
  Phase1: 4000/5400 (74.1%) | 2.7/sec | ETA: 8.7m
  Phase1: 4050/5400 (75.0%) | 2.7/sec | ETA: 8.4m
  Phase1: 4100/5400 (75.9%) | 2.7/sec | ETA: 8.0m
  Phase1: 4150/5400 (76.9%) | 2.7/sec | ETA: 7.7m
  Phase1: 4200/5400 (77.8%) | 2.7/sec | ETA: 7.4m
  Phase1: 4250/5400 (78.7%) | 2.7/sec | ETA: 7.1m
  Phase1: 4300/5400 (79.6%) | 2.6/sec | ETA: 7.2m
  Phase1: 4350/5400 (80.6%) | 2.6/sec | ETA: 6.8m
  Phase1: 4400/5400 (81.5%) | 2.6/sec | ETA: 6.5m
  Phase1: 4450/5400 (82.4%) | 2.6/sec | ETA: 6.2m
  Phase1: 4500/5400 (83.3%) | 2.5/sec | ETA: 5.9m
  Phase1: 4550/5400 (84.3%) | 2.6/sec | ETA: 5.5m
  Phase1: 4600/5400 (85.2%) | 2.5/sec | ETA: 5.2m
  Phase1: 4650/5400 (86.1%) | 2.5/sec | ETA: 4.9m
  Phase1: 4700/5400 (87.0%) | 2.5/sec | ETA: 4.6m
  Phase1: 4750/5400 (88.0%) | 2.5/sec | ETA: 4.3m
  Phase1: 4800/5400 (88.9%) | 2.5/sec | ETA: 3.9m
  Phase1: 4850/5400 (89.8%) | 2.5/sec | ETA: 3.6m
  Phase1: 4900/5400 (90.7%) | 2.5/sec | ETA: 3.3m
  Phase1: 4950/5400 (91.7%) | 2.5/sec | ETA: 3.0m
  Phase1: 5000/5400 (92.6%) | 2.5/sec | ETA: 2.6m
  Phase1: 5050/5400 (93.5%) | 2.5/sec | ETA: 2.3m
  Phase1: 5100/5400 (94.4%) | 2.6/sec | ETA: 2.0m
  Phase1: 5150/5400 (95.4%) | 2.6/sec | ETA: 1.6m
  Phase1: 5200/5400 (96.3%) | 2.6/sec | ETA: 1.3m
  Phase1: 5250/5400 (97.2%) | 2.6/sec | ETA: 1.0m
  Phase1: 5300/5400 (98.1%) | 2.6/sec | ETA: 0.6m
  Phase1: 5350/5400 (99.1%) | 2.6/sec | ETA: 0.3m
  Phase1: 5400/5400 (100.0%) | 2.6/sec | ETA: 0.0m
Phase 1 done in 35.0m (5400 calls, 2.6/sec)
  Phase 2: 22 entries to rerun with max_tokens=1024
    Rerun: 22/22, fixed: 22
  Phase 2 done: fixed 22/22 in 0.3m
Final results saved to results_exp1/results_qwen32b_arc.json
Final None rate: 0/5400 (0.0%)


============================================================
Phase 1: qwen32b / mmlu
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 2.6/sec | ETA: 34.9m
  Phase1: 100/5400 (1.9%) | 2.9/sec | ETA: 30.7m
  Phase1: 150/5400 (2.8%) | 1.0/sec | ETA: 91.0m
  Phase1: 200/5400 (3.7%) | 0.6/sec | ETA: 137.1m
  Phase1: 250/5400 (4.6%) | 0.8/sec | ETA: 113.4m
  Phase1: 300/5400 (5.6%) | 0.9/sec | ETA: 99.0m
  Phase1: 350/5400 (6.5%) | 1.0/sec | ETA: 88.0m
  Phase1: 400/5400 (7.4%) | 1.0/sec | ETA: 79.8m
  Phase1: 450/5400 (8.3%) | 1.1/sec | ETA: 73.2m
  Phase1: 500/5400 (9.3%) | 1.2/sec | ETA: 68.4m
  Phase1: 550/5400 (10.2%) | 1.1/sec | ETA: 75.8m
  Phase1: 600/5400 (11.1%) | 1.0/sec | ETA: 81.9m
  Phase1: 650/5400 (12.0%) | 1.0/sec | ETA: 78.1m
  Phase1: 700/5400 (13.0%) | 1.0/sec | ETA: 74.9m
  Phase1: 750/5400 (13.9%) | 1.1/sec | ETA: 72.3m
  Phase1: 800/5400 (14.8%) | 1.1/sec | ETA: 72.3m
  Phase1: 850/5400 (15.7%) | 1.1/sec | ETA: 69.0m
  Phase1: 900/5400 (16.7%) | 1.1/sec | ETA: 66.1m
  Phase1: 950/5400 (17.6%) | 1.2/sec | ETA: 63.2m
  Phase1: 1000/5400 (18.5%) | 1.2/sec | ETA: 60.5m
  Phase1: 1050/5400 (19.4%) | 1.2/sec | ETA: 58.4m
  Phase1: 1100/5400 (20.4%) | 1.3/sec | ETA: 56.4m
  Phase1: 1150/5400 (21.3%) | 1.3/sec | ETA: 55.8m
  Phase1: 1200/5400 (22.2%) | 1.2/sec | ETA: 57.1m
  Phase1: 1250/5400 (23.1%) | 1.2/sec | ETA: 55.4m
  Phase1: 1300/5400 (24.1%) | 1.3/sec | ETA: 54.3m
  Phase1: 1350/5400 (25.0%) | 1.3/sec | ETA: 52.5m
  Phase1: 1400/5400 (25.9%) | 1.3/sec | ETA: 51.7m
  Phase1: 1450/5400 (26.9%) | 1.3/sec | ETA: 50.3m
  Phase1: 1500/5400 (27.8%) | 1.3/sec | ETA: 49.1m
  Phase1: 1550/5400 (28.7%) | 1.3/sec | ETA: 47.9m
  Phase1: 1600/5400 (29.6%) | 1.4/sec | ETA: 46.1m
  Phase1: 1650/5400 (30.6%) | 1.4/sec | ETA: 44.7m
  Phase1: 1700/5400 (31.5%) | 1.4/sec | ETA: 43.1m
  Phase1: 1750/5400 (32.4%) | 1.4/sec | ETA: 42.8m
  Phase1: 1800/5400 (33.3%) | 1.4/sec | ETA: 41.7m
  Phase1: 1850/5400 (34.3%) | 1.5/sec | ETA: 40.2m
  Phase1: 1900/5400 (35.2%) | 1.5/sec | ETA: 39.5m
  Phase1: 1950/5400 (36.1%) | 1.5/sec | ETA: 38.5m
  Phase1: 2000/5400 (37.0%) | 1.5/sec | ETA: 37.2m
  Phase1: 2050/5400 (38.0%) | 1.5/sec | ETA: 36.1m
  Phase1: 2100/5400 (38.9%) | 1.5/sec | ETA: 36.4m
  Phase1: 2150/5400 (39.8%) | 1.5/sec | ETA: 35.7m
  Phase1: 2200/5400 (40.7%) | 1.5/sec | ETA: 34.8m
  Phase1: 2250/5400 (41.7%) | 1.5/sec | ETA: 34.0m
  Phase1: 2300/5400 (42.6%) | 1.6/sec | ETA: 33.1m
  Phase1: 2350/5400 (43.5%) | 1.6/sec | ETA: 32.3m
  Phase1: 2400/5400 (44.4%) | 1.3/sec | ETA: 37.5m
  Phase1: 2450/5400 (45.4%) | 1.3/sec | ETA: 36.6m
  Phase1: 2500/5400 (46.3%) | 1.4/sec | ETA: 35.6m
  Phase1: 2550/5400 (47.2%) | 1.4/sec | ETA: 34.6m
  Phase1: 2600/5400 (48.1%) | 1.4/sec | ETA: 33.7m
  Phase1: 2650/5400 (49.1%) | 1.4/sec | ETA: 33.4m
  Phase1: 2700/5400 (50.0%) | 1.4/sec | ETA: 32.7m
  Phase1: 2750/5400 (50.9%) | 1.4/sec | ETA: 31.9m
  Phase1: 2800/5400 (51.9%) | 1.4/sec | ETA: 31.1m
  Phase1: 2850/5400 (52.8%) | 1.4/sec | ETA: 30.3m
  Phase1: 2900/5400 (53.7%) | 1.4/sec | ETA: 30.2m
  Phase1: 2950/5400 (54.6%) | 1.3/sec | ETA: 30.3m
  Phase1: 3000/5400 (55.6%) | 1.4/sec | ETA: 29.4m
  Phase1: 3050/5400 (56.5%) | 1.3/sec | ETA: 29.0m
  Phase1: 3100/5400 (57.4%) | 1.3/sec | ETA: 29.1m
  Phase1: 3150/5400 (58.3%) | 1.3/sec | ETA: 28.4m
  Phase1: 3200/5400 (59.3%) | 1.2/sec | ETA: 29.4m
  Phase1: 3250/5400 (60.2%) | 1.3/sec | ETA: 28.6m
  Phase1: 3300/5400 (61.1%) | 1.2/sec | ETA: 28.4m
  Phase1: 3350/5400 (62.0%) | 1.2/sec | ETA: 27.5m
  Phase1: 3400/5400 (63.0%) | 1.3/sec | ETA: 26.6m
  Phase1: 3450/5400 (63.9%) | 1.3/sec | ETA: 25.8m
  Phase1: 3500/5400 (64.8%) | 1.3/sec | ETA: 25.0m
  Phase1: 3550/5400 (65.7%) | 1.3/sec | ETA: 24.2m
  Phase1: 3600/5400 (66.7%) | 1.3/sec | ETA: 23.5m
  Phase1: 3650/5400 (67.6%) | 1.3/sec | ETA: 23.3m
  Phase1: 3700/5400 (68.5%) | 1.3/sec | ETA: 22.6m
  Phase1: 3750/5400 (69.4%) | 1.3/sec | ETA: 21.8m
  Phase1: 3800/5400 (70.4%) | 1.3/sec | ETA: 21.0m
  Phase1: 3850/5400 (71.3%) | 1.3/sec | ETA: 20.2m
  Phase1: 3900/5400 (72.2%) | 1.3/sec | ETA: 19.4m
  Phase1: 3950/5400 (73.1%) | 1.3/sec | ETA: 18.7m
  Phase1: 4000/5400 (74.1%) | 1.3/sec | ETA: 17.9m
  Phase1: 4050/5400 (75.0%) | 1.3/sec | ETA: 17.3m
  Phase1: 4100/5400 (75.9%) | 1.3/sec | ETA: 16.5m
  Phase1: 4150/5400 (76.9%) | 1.3/sec | ETA: 15.8m
  Phase1: 4200/5400 (77.8%) | 1.3/sec | ETA: 15.1m
  Phase1: 4250/5400 (78.7%) | 1.3/sec | ETA: 14.4m
  Phase1: 4300/5400 (79.6%) | 1.3/sec | ETA: 13.7m
  Phase1: 4350/5400 (80.6%) | 1.3/sec | ETA: 13.0m
  Phase1: 4400/5400 (81.5%) | 1.3/sec | ETA: 12.4m
  Phase1: 4450/5400 (82.4%) | 1.3/sec | ETA: 11.7m
  Phase1: 4500/5400 (83.3%) | 1.4/sec | ETA: 11.1m
  Phase1: 4550/5400 (84.3%) | 1.4/sec | ETA: 10.4m
  Phase1: 4600/5400 (85.2%) | 1.4/sec | ETA: 9.8m
  Phase1: 4650/5400 (86.1%) | 1.4/sec | ETA: 9.1m
  Phase1: 4700/5400 (87.0%) | 1.4/sec | ETA: 8.5m
  Phase1: 4750/5400 (88.0%) | 1.4/sec | ETA: 7.8m
  Phase1: 4800/5400 (88.9%) | 1.4/sec | ETA: 7.3m
  Phase1: 4850/5400 (89.8%) | 1.4/sec | ETA: 6.7m
  Phase1: 4900/5400 (90.7%) | 1.3/sec | ETA: 6.4m
  Phase1: 4950/5400 (91.7%) | 1.3/sec | ETA: 5.7m
  Phase1: 5000/5400 (92.6%) | 1.3/sec | ETA: 5.1m
  Phase1: 5050/5400 (93.5%) | 1.3/sec | ETA: 4.5m
  Phase1: 5100/5400 (94.4%) | 1.3/sec | ETA: 3.8m
  Phase1: 5150/5400 (95.4%) | 1.3/sec | ETA: 3.2m
  Phase1: 5200/5400 (96.3%) | 1.3/sec | ETA: 2.5m
  Phase1: 5250/5400 (97.2%) | 1.3/sec | ETA: 1.9m
  Phase1: 5300/5400 (98.1%) | 1.3/sec | ETA: 1.3m
  Phase1: 5350/5400 (99.1%) | 1.3/sec | ETA: 0.6m
  Phase1: 5400/5400 (100.0%) | 1.2/sec | ETA: 0.0m
Phase 1 done in 72.3m (5400 calls, 1.2/sec)
  Phase 2: 990 entries to rerun with max_tokens=1024
    Rerun: 50/990, fixed: 50
    Rerun: 100/990, fixed: 100
    Rerun: 150/990, fixed: 144
    Rerun: 200/990, fixed: 186
    Rerun: 250/990, fixed: 227
    Rerun: 300/990, fixed: 277
    Rerun: 350/990, fixed: 323
    Rerun: 400/990, fixed: 372
    Rerun: 450/990, fixed: 416
    Rerun: 500/990, fixed: 459
    Rerun: 550/990, fixed: 504
    Rerun: 600/990, fixed: 554
    Rerun: 650/990, fixed: 603
    Rerun: 700/990, fixed: 653
    Rerun: 750/990, fixed: 703
    Rerun: 800/990, fixed: 746
    Rerun: 850/990, fixed: 787
    Rerun: 900/990, fixed: 837
    Rerun: 950/990, fixed: 887
    Rerun: 990/990, fixed: 916
  Phase 2 done: fixed 916/990 in 42.5m
Final results saved to results_exp1/results_qwen32b_mmlu.json
Final None rate: 74/5400 (1.4%)


============================================================
Phase 1: qwen72b / arc
============================================================
Total: 5400, Done: 0, Remaining: 5400
  Phase1: 50/5400 (0.9%) | 5.9/sec | ETA: 15.2m
  Phase1: 100/5400 (1.9%) | 6.1/sec | ETA: 14.5m
  Phase1: 150/5400 (2.8%) | 6.2/sec | ETA: 14.1m
  Phase1: 200/5400 (3.7%) | 5.6/sec | ETA: 15.5m
  Phase1: 250/5400 (4.6%) | 5.7/sec | ETA: 15.2m
  Phase1: 300/5400 (5.6%) | 5.8/sec | ETA: 14.6m
  Phase1: 350/5400 (6.5%) | 5.8/sec | ETA: 14.5m
  Phase1: 400/5400 (7.4%) | 5.8/sec | ETA: 14.4m
  Phase1: 450/5400 (8.3%) | 5.9/sec | ETA: 14.0m
  Phase1: 500/5400 (9.3%) | 6.0/sec | ETA: 13.6m
  Phase1: 550/5400 (10.2%) | 5.9/sec | ETA: 13.7m
  Phase1: 600/5400 (11.1%) | 5.9/sec | ETA: 13.5m
  Phase1: 650/5400 (12.0%) | 5.9/sec | ETA: 13.4m
  Phase1: 700/5400 (13.0%) | 5.9/sec | ETA: 13.3m
  Phase1: 750/5400 (13.9%) | 5.9/sec | ETA: 13.2m
  Phase1: 800/5400 (14.8%) | 5.9/sec | ETA: 13.1m
  Phase1: 850/5400 (15.7%) | 5.6/sec | ETA: 13.5m
  Phase1: 900/5400 (16.7%) | 5.6/sec | ETA: 13.5m
  Phase1: 950/5400 (17.6%) | 5.6/sec | ETA: 13.3m
  Phase1: 1000/5400 (18.5%) | 5.6/sec | ETA: 13.2m
  Phase1: 1050/5400 (19.4%) | 5.6/sec | ETA: 12.9m
  Phase1: 1100/5400 (20.4%) | 5.7/sec | ETA: 12.6m
  Phase1: 1150/5400 (21.3%) | 5.7/sec | ETA: 12.4m
  Phase1: 1200/5400 (22.2%) | 5.7/sec | ETA: 12.3m
  Phase1: 1250/5400 (23.1%) | 5.8/sec | ETA: 12.0m
  Phase1: 1300/5400 (24.1%) | 5.8/sec | ETA: 11.8m
  Phase1: 1350/5400 (25.0%) | 5.8/sec | ETA: 11.6m
  Phase1: 1400/5400 (25.9%) | 5.9/sec | ETA: 11.4m
  Phase1: 1450/5400 (26.9%) | 5.9/sec | ETA: 11.2m
  Phase1: 1500/5400 (27.8%) | 5.9/sec | ETA: 11.1m
  Phase1: 1550/5400 (28.7%) | 5.9/sec | ETA: 10.9m
  Phase1: 1600/5400 (29.6%) | 5.9/sec | ETA: 10.8m
  Phase1: 1650/5400 (30.6%) | 5.9/sec | ETA: 10.6m
  Phase1: 1700/5400 (31.5%) | 5.9/sec | ETA: 10.4m
